log_loss,mstd,params
0.5394611428571429,0.033086421132038094,"{'reg_lambda': 0.7450354959434485, 'eta': 0.003538942477090095, 'max_depth': 6, 'colsample_bytree': 0.9595838583943765, 'gamma': 0.06422094855067559, 'min_child_weight': 13.94766709201154, 'subsample': 0.018768024770082964}"
0.5394639999999999,0.032642901137804416,"{'reg_lambda': 0.7851724887871261, 'eta': 0.003100751726092599, 'max_depth': 6, 'colsample_bytree': 0.9220151576962826, 'gamma': 0.14281376783382038, 'min_child_weight': 12.380311827689198, 'subsample': 0.018790514936781404}"
0.539466,0.03301298563115287,"{'reg_lambda': 0.7153503484848279, 'eta': 0.001564347179121348, 'max_depth': 6, 'colsample_bytree': 0.9837200934835644, 'gamma': 0.1633372536397912, 'min_child_weight': 12.954641433663653, 'subsample': 0.019145160375967356}"
0.5394685714285714,0.030472533769281374,"{'reg_lambda': 0.713462076075942, 'eta': 0.004796931988632448, 'max_depth': 6, 'colsample_bytree': 0.9702666425643335, 'gamma': 0.021282629160203136, 'min_child_weight': 13.10428180084258, 'subsample': 0.018558981149897364}"
0.5394698571428572,0.033968723696119446,"{'reg_lambda': 0.7405374557032923, 'eta': 0.0020606308459872194, 'max_depth': 6, 'colsample_bytree': 0.941769291860962, 'gamma': 0.005897040238552503, 'min_child_weight': 13.108224768541431, 'subsample': 0.019024615590856622}"
0.5394721428571428,0.03248820513262225,"{'reg_lambda': 0.7531887403622956, 'eta': 0.0032804602501423797, 'max_depth': 6, 'colsample_bytree': 0.9564290206925665, 'gamma': 0.056554001957009575, 'min_child_weight': 14.202251262708387, 'subsample': 0.0180008973266967}"
0.5394722857142857,0.03180064962950661,"{'reg_lambda': 0.7201043214833218, 'eta': 0.0037214742687335664, 'max_depth': 6, 'colsample_bytree': 0.9632559477754011, 'gamma': 0.03914724073057712, 'min_child_weight': 10.95585876311866, 'subsample': 0.01908202256737681}"
0.5394728571428572,0.03232877917522784,"{'reg_lambda': 0.7064038360928856, 'eta': 0.005993854214805387, 'max_depth': 6, 'colsample_bytree': 0.9543183550634244, 'gamma': 0.08330826007572678, 'min_child_weight': 13.615573258410802, 'subsample': 0.019991208918825425}"
0.5394821428571429,0.031748503279855095,"{'reg_lambda': 0.7283894541692378, 'eta': 0.003988802540674172, 'max_depth': 6, 'colsample_bytree': 0.9465518811516216, 'gamma': 0.06756369536772953, 'min_child_weight': 14.010777990983046, 'subsample': 0.01826194014689294}"
0.539483,0.0320370829694339,"{'reg_lambda': 0.7377057147146138, 'eta': 0.002029796512628217, 'max_depth': 6, 'colsample_bytree': 0.9641202721106696, 'gamma': 0.16989455472966022, 'min_child_weight': 11.527557948687209, 'subsample': 0.018213298777766472}"
0.539486,0.030619835957629727,"{'reg_lambda': 0.7598937367174186, 'eta': 0.004103318837871505, 'max_depth': 6, 'colsample_bytree': 0.9514091720799615, 'gamma': 0.16535101532425905, 'min_child_weight': 14.057516470373532, 'subsample': 0.01930345999493013}"
0.5394865714285715,0.03292714658909206,"{'reg_lambda': 0.71492254155097, 'eta': 0.0027166474911634944, 'max_depth': 6, 'colsample_bytree': 0.9648353934221325, 'gamma': 0.0008433179273902094, 'min_child_weight': 12.787624794000376, 'subsample': 0.017987987264503385}"
0.5394888571428572,0.03312386757645417,"{'reg_lambda': 0.7239254480992731, 'eta': 0.0043437104349802, 'max_depth': 6, 'colsample_bytree': 0.9598506498451057, 'gamma': 0.07632489097412522, 'min_child_weight': 14.915050109856935, 'subsample': 0.01964325397627913}"
0.5394902857142857,0.033767346109213905,"{'reg_lambda': 0.7190314492334582, 'eta': 0.0015224293455173379, 'max_depth': 6, 'colsample_bytree': 0.9658671602709251, 'gamma': 0.01113677762024592, 'min_child_weight': 16.01698475959915, 'subsample': 0.018123422232173204}"
0.539494,0.032089091779089855,"{'reg_lambda': 0.8126323886296349, 'eta': 0.003912359647723058, 'max_depth': 6, 'colsample_bytree': 0.9574709022576252, 'gamma': 0.04929008115061774, 'min_child_weight': 18.391511331730452, 'subsample': 0.01921121345343987}"
0.539494,0.03366073841508271,"{'reg_lambda': 0.7997210590437883, 'eta': 0.0030310079304526477, 'max_depth': 6, 'colsample_bytree': 0.9660700986641949, 'gamma': 0.1939411938639844, 'min_child_weight': 12.522758927255971, 'subsample': 0.018592269257108638}"
0.5394952857142857,0.032455303429376886,"{'reg_lambda': 0.7100265556323481, 'eta': 0.003283275509564744, 'max_depth': 6, 'colsample_bytree': 0.9637124128882038, 'gamma': 0.060219425488373134, 'min_child_weight': 11.024274650447255, 'subsample': 0.01782599997604392}"
0.539497,0.029415328498779782,"{'reg_lambda': 0.7397283458381005, 'eta': 0.005179938260788814, 'max_depth': 6, 'colsample_bytree': 0.9739601362874271, 'gamma': 0.15037442368220033, 'min_child_weight': 15.86143090546244, 'subsample': 0.019276441187920733}"
0.5394974285714286,0.03291347974537879,"{'reg_lambda': 0.7609070668688904, 'eta': 0.0032747902228379604, 'max_depth': 6, 'colsample_bytree': 0.9470773860732952, 'gamma': 8.32749043599458e-05, 'min_child_weight': 14.765030268746454, 'subsample': 0.017468193886681638}"
0.5394992857142857,0.03305295723851522,"{'reg_lambda': 0.7294263814004397, 'eta': 0.002726451740010688, 'max_depth': 6, 'colsample_bytree': 0.9875119249713539, 'gamma': 0.12708129141837146, 'min_child_weight': 9.933357157516896, 'subsample': 0.015933217354904702}"
0.539500142857143,0.033341465752231327,"{'reg_lambda': 0.736252392803038, 'eta': 0.004107438808974909, 'max_depth': 6, 'colsample_bytree': 0.9524991451806526, 'gamma': 0.03175374498813218, 'min_child_weight': 12.953322314427073, 'subsample': 0.019623264917473085}"
0.5395025714285714,0.03302742028153005,"{'reg_lambda': 0.7329873577960448, 'eta': 0.005532256400790305, 'max_depth': 6, 'colsample_bytree': 0.9543270169271106, 'gamma': 0.12890789933141333, 'min_child_weight': 17.520662845723056, 'subsample': 0.019376834156753314}"
0.5395027142857143,0.033534637624973516,"{'reg_lambda': 0.7225367301352167, 'eta': 0.004184457904982241, 'max_depth': 6, 'colsample_bytree': 0.9558289946208647, 'gamma': 0.10502408483711312, 'min_child_weight': 16.705378915039976, 'subsample': 0.019987829686954003}"
0.5395034285714285,0.03272814184407963,"{'reg_lambda': 0.7113523994823819, 'eta': 0.0030659785670237873, 'max_depth': 6, 'colsample_bytree': 0.9415778511228302, 'gamma': 0.03854385598059269, 'min_child_weight': 13.319107605223225, 'subsample': 0.01792743827171554}"
